Datetime, Type, Address
2020-08-02 12:57.26,wifi,703ACB1D4010
2020-08-02 12:57.27,wifi,F0EF867E3B29
2020-08-02 12:57.44,wifi,B827EB4CE726
2020-08-02 12:57.44,wifi,F48C50551A68
2020-08-02 12:57.44,wifi,FA8FCA5E99C4
2020-08-02 12:57.44,wifi,B07FB981BEE4
2020-08-02 12:57.44,wifi,7CDB98E2F1BD
2020-08-02 12:57.54,wifi,50D4F7D5BE8A
2020-08-02 12:57.54,wifi,56D4F7D5CE3E
2020-08-02 12:57.54,wifi,56D4F7D5BE8A
2020-08-02 12:58.00,wifi,423349749C8A
2020-08-02 12:58.01,wifi,A8346A74AEDE
2020-08-02 12:58.03,wifi,A06391EFB628
2020-08-02 12:58.04,wifi,703ACB1D37AF
2020-08-02 12:58.04,wifi,24F5A2307C89
2020-08-02 12:58.04,wifi,FA8FCA745E54
2020-08-02 12:58.18,wifi,18B4305C7B5B
2020-08-02 12:58.26,wifi,56D4F7D5AE8A
2020-08-02 12:58.26,wifi,50D4F7D5AE8A
2020-08-02 12:58.34,bt,52:29:be:7e:33:ac
2020-08-02 12:58.43,wifi,7E7D5A77CEAD
2020-08-02 12:59.45,wifi,BEA7F6B6F915
2020-08-02 13:00.42,wifi,EC5C68E57E68
2020-08-02 13:01.44,wifi,B87BC52B2035
2020-08-02 13:02.28,wifi,F6AF6ADE1C82
2020-08-02 13:02.34,bt,5d:9d:15:bc:b3:39
2020-08-02 13:02.39,wifi,5AB4A279C49F
2020-08-02 13:02.59,wifi,D240D041ABBA
2020-08-02 13:03.00,wifi,423927D9F881
2020-08-02 13:03.27,wifi,EEAB5F4E59B4
2020-08-02 13:03.54,wifi,90A7C130A428
2020-08-02 13:04.00,wifi,12A6FDEE27E9
2020-08-02 13:04.36,wifi,50D4F7D5CE3E
2020-08-02 13:04.46,wifi,D640D041ABE7
2020-08-02 13:05.35,wifi,86507A8456A7
2020-08-02 13:06.02,wifi,D240D041ABE7
2020-08-02 13:06.56,wifi,D2D13E541858
2020-08-02 13:07.18,wifi,88A47953FC1B
2020-08-02 13:08.22,wifi,2A755AD4A84D
2020-08-02 13:09.34,bt,5d:3d:96:ee:5e:08
2020-08-02 13:10.01,wifi,F23B9664411C
2020-08-02 13:11.14,wifi,7CA1AE879975
2020-08-02 13:11.54,bt,52:89:ae:a1:a2:4c
2020-08-02 13:12.07,wifi,C2EB6B14FC71
2020-08-02 13:12.28,wifi,30D9D91EBD41
2020-08-02 13:12.34,bt,6e:e1:07:dc:2e:4d
2020-08-02 13:13.16,wifi,86BDD4593ED9
2020-08-02 13:13.34,bt,59:2d:a8:d8:6a:f8
2020-08-02 13:13.38,wifi,F079591B2B31
2020-08-02 13:13.43,wifi,EA39663FC59D
2020-08-02 13:16.33,wifi,24F5A2307C89
2020-08-02 13:16.33,wifi,703ACB1D4010
2020-08-02 13:16.33,wifi,FA8FCA745E54
2020-08-02 13:16.44,wifi,B827EB4CE726
2020-08-02 13:16.50,wifi,F48C50551A68
2020-08-02 13:16.51,wifi,7CDB98E2F1BD
2020-08-02 13:16.51,wifi,B07FB981BEE4
2020-08-02 13:16.51,wifi,90A7C130A428
2020-08-02 13:16.51,wifi,FA8FCA5E99C4
2020-08-02 13:16.55,wifi,56D4F7D5BE8A
2020-08-02 13:16.56,wifi,50D4F7D5BE8A
2020-08-02 13:16.56,wifi,56D4F7D5AE8A
2020-08-02 13:16.56,wifi,50D4F7D5AE8A
2020-08-02 13:17.03,wifi,A06391EFB628
2020-08-02 13:17.10,bt,5d:3d:96:ee:5e:08
2020-08-02 13:17.20,wifi,18B4305C7B5B
2020-08-02 13:17.42,wifi,FA8FCA3BE96B
2020-08-02 13:17.44,wifi,703ACB1D37AF
2020-08-02 13:18.32,wifi,F0EF867E3B29
2020-08-02 13:18.38,wifi,90A7C130A428
2020-08-02 13:18.59,wifi,D640D041ABE7
2020-08-02 13:19.42,wifi,EC5C68E57E68
2020-08-02 13:19.43,wifi,8EF29C6C7899
2020-08-02 13:21.03,wifi,FA8FCA5E99C4
2020-08-02 13:21.04,wifi,90A7C130A428
2020-08-02 13:21.20,wifi,A8346A74AEDE
2020-08-02 13:22.02,wifi,D240D041ABBA
2020-08-02 13:22.16,wifi,8EF29C6C7899
2020-08-02 13:22.36,wifi,FA8FCA3BE96B
2020-08-02 13:22.50,bt,5e:68:26:bb:90:40
2020-08-02 13:22.51,wifi,18B4305C7B5B
2020-08-02 13:23.33,wifi,90A7C130A428
2020-08-02 13:23.33,wifi,7CDB98E2F1BD
2020-08-02 13:23.34,wifi,FA8FCA5E99C4
2020-08-02 13:23.53,wifi,703ACB1D37AF
2020-08-02 13:23.53,wifi,F0EF867E3B29
2020-08-02 13:24.23,wifi,22AD56259989
2020-08-02 13:25.03,wifi,703ACB1D4010
2020-08-02 13:25.12,wifi,EC5C68E57E68
2020-08-02 13:26.04,wifi,18B4305C7B5B
2020-08-02 13:26.10,bt,52:29:be:7e:33:ac
2020-08-02 13:26.36,wifi,90A7C130A428
2020-08-02 13:26.56,wifi,D240D041ABBA
2020-08-02 13:27.03,wifi,18B4305CED53
2020-08-02 13:27.44,wifi,963BAD1AE2AC
2020-08-02 13:27.44,wifi,923BAD1AE2AC
2020-08-02 13:27.45,wifi,9A3BAD1AE2AC
2020-08-02 13:27.50,bt,52:29:be:7e:33:ac
2020-08-02 13:29.10,bt,55:6c:3f:4a:08:0f
2020-08-02 13:29.16,wifi,A8346A74AEDE
2020-08-02 13:29.19,wifi,18B4305C7B5B
2020-08-02 13:29.39,wifi,FA8FCA5E99C4
2020-08-02 13:29.56,wifi,FA8FCA3BE96B
2020-08-02 13:30.00,wifi,D240D041ABBA
2020-08-02 13:32.03,wifi,90A7C130A428
2020-08-02 13:32.36,wifi,18B4305C7B5B
2020-08-02 13:33.37,wifi,F0EF867E3B29
2020-08-02 13:33.41,wifi,EC5C68E57E68
2020-08-02 13:33.56,wifi,7CDB98E2F1BD
2020-08-02 13:34.32,wifi,2A755AD4A84D
2020-08-02 13:34.44,wifi,A8346A74AEDE
2020-08-02 13:34.51,wifi,FA8FCA3BE96B
2020-08-02 13:34.55,wifi,D640D041ABBA
2020-08-02 13:35.01,wifi,18B4305C7B5B
2020-08-02 13:35.05,wifi,88A47953FC1B
2020-08-02 13:35.11,bt,73:eb:59:1c:8c:3c
2020-08-02 13:35.31,wifi,703ACB1D37AF
2020-08-02 13:35.50,bt,58:c8:48:9c:b8:e0
2020-08-02 13:36.51,wifi,F0EF867E3B29
2020-08-02 13:37.00,wifi,FA8FCA5E99C4
2020-08-02 13:37.37,wifi,90A7C130A428
2020-08-02 13:38.10,bt,4e:49:7f:ab:b2:72
2020-08-02 13:38.25,wifi,A8346A74AEDE
2020-08-02 13:39.11,wifi,18B4305C7B5B
2020-08-02 13:39.41,wifi,FA8FCA3BE96B
2020-08-02 13:40.11,wifi,362A4E6A2447
2020-08-02 13:40.14,wifi,8A6FEE45CFBD
2020-08-02 13:40.16,wifi,5A171BD0BAC9
2020-08-02 13:40.30,bt,45:ba:ad:0d:b4:25
2020-08-02 13:40.31,bt,50:18:ee:4c:b2:e9
2020-08-02 13:40.51,wifi,86BEEABA4ABF
2020-08-02 13:40.55,wifi,92782A7570A6
2020-08-02 13:40.59,wifi,D240D041ABBA
2020-08-02 13:41.02,wifi,CE6C2B83BB3E
2020-08-02 13:41.16,wifi,F0989DEBC6B6
2020-08-02 13:41.38,wifi,D640D041ABE7
2020-08-02 13:42.12,wifi,F0EF867E3B29
2020-08-02 13:42.16,wifi,A264485E6721
2020-08-02 13:42.17,wifi,18B4305C7B5B
2020-08-02 13:42.24,wifi,4612C92D1078
2020-08-02 13:42.37,wifi,CEB2B842BDF5
2020-08-02 13:42.38,wifi,56D4F7D5BE8A
2020-08-02 13:42.54,wifi,924857F43D3B
2020-08-02 13:43.12,wifi,2E544566C5F3
2020-08-02 13:43.18,wifi,7CA1AE879975
2020-08-02 13:43.22,wifi,FA8FCA3BE96B
2020-08-02 13:44.11,wifi,F0989DEBC6B6
2020-08-02 13:44.18,wifi,3E328B9BFE2A
2020-08-02 13:44.36,wifi,289EFC8BCF96
2020-08-02 13:44.41,wifi,EC5C68E57E68
2020-08-02 13:44.56,wifi,B87BC52B2035
2020-08-02 13:44.57,wifi,FA8FCA5E99C4
2020-08-02 13:45.16,wifi,D640D041ABBA
2020-08-02 13:45.20,wifi,EE5F9A77CEED
2020-08-02 13:45.23,wifi,F0EF867E3B29
2020-08-02 13:45.35,wifi,2A755AD4A84D
2020-08-02 13:45.45,wifi,18B4305C7B5B
2020-08-02 13:45.53,wifi,FA8FCA3BE96B
2020-08-02 13:45.53,wifi,D640D041ABE7
2020-08-02 13:46.00,wifi,18B4305CED53
2020-08-02 13:46.17,wifi,56D4F7D5BE8A
2020-08-02 13:46.18,wifi,50D4F7D5BE8A
2020-08-02 13:46.21,wifi,AAED90354A3E
2020-08-02 13:46.22,wifi,7CA1AE879975
2020-08-02 13:46.32,wifi,D240D041ABBA
2020-08-02 13:47.21,wifi,90A7C130A428
2020-08-02 13:47.31,bt,60:7e:7c:ca:8f:48
2020-08-02 13:47.35,wifi,F0EF867E3B29
2020-08-02 13:47.36,wifi,E0338EEEB864
2020-08-02 13:48.50,bt,45:ba:ad:0d:b4:25
2020-08-02 13:48.51,wifi,7CA1AE879975
2020-08-02 13:49.13,wifi,FA8FCA5E99C4
2020-08-02 13:49.16,wifi,9E7EBAEA78B6
2020-08-02 13:49.17,wifi,AAED90354A3E
2020-08-02 13:49.18,wifi,50D4F7D5BE8A
2020-08-02 13:49.50,bt,50:18:ee:4c:b2:e9
2020-08-02 13:49.53,wifi,90A7C130A428
2020-08-02 13:49.58,wifi,18B4305C7B5B
2020-08-02 13:50.03,wifi,FA8FCA3BE96B
2020-08-02 13:50.04,wifi,3E76644DB3C4
2020-08-02 13:50.15,wifi,C2F5D93F844E
2020-08-02 13:50.24,wifi,F0989DEBC6B6
2020-08-02 13:50.33,wifi,56D4F7D5BE8A
2020-08-02 13:50.51,bt,52:29:be:7e:33:ac
2020-08-02 13:51.00,wifi,FA8FCA5E99C4
2020-08-02 13:51.01,wifi,AEDE3D605536
2020-08-02 13:51.11,bt,6f:13:c3:4a:2c:9a
2020-08-02 13:51.23,wifi,DE40D041ABBA
2020-08-02 13:51.37,wifi,6AD46C6F9321
2020-08-02 13:51.51,wifi,F0EF867E3B29
2020-08-02 13:52.00,wifi,D240D041ABBA
2020-08-02 13:52.33,wifi,FA8FCA3BE96B
2020-08-02 13:52.51,bt,63:47:f9:b5:c7:67
2020-08-02 13:52.53,wifi,FA8FCA5E99C4
2020-08-02 13:52.55,wifi,90A7C130A428
2020-08-02 13:52.56,wifi,F0989DEBC6B6
2020-08-02 13:53.15,wifi,E8FCAF836A6B
2020-08-02 13:53.19,wifi,18B4305CED53
2020-08-02 13:54.13,wifi,50D4F7D5BE8A
2020-08-02 13:54.36,wifi,18B4305C7B5B
2020-08-02 13:54.59,wifi,FA8FCA3BE96B
2020-08-02 13:55.01,wifi,D240D041ABBA
2020-08-02 13:55.11,wifi,E61D6A30E212
2020-08-02 13:55.11,wifi,EC5C68E57E68
2020-08-02 13:55.19,wifi,FA8FCA5E99C4
2020-08-02 13:55.23,wifi,56D4F7D5BE8A
2020-08-02 13:56.16,wifi,7CA1AE879975
2020-08-02 13:56.16,wifi,D240D041ABE7
2020-08-02 13:56.30,bt,52:29:be:7e:33:ac
2020-08-02 13:56.38,wifi,50D4F7D5AE8A
2020-08-02 13:56.38,wifi,56D4F7D5BE8A
2020-08-02 13:56.38,wifi,50D4F7D5BE8A
2020-08-02 13:56.51,wifi,FA8FCA3BE96B
2020-08-02 13:57.11,wifi,FA8FCA5E99C4
2020-08-02 13:57.12,wifi,F0EF867E3B29
2020-08-02 13:57.12,wifi,90A7C130A428
2020-08-02 13:57.16,wifi,56D4F7D5AE8A
2020-08-02 13:57.19,wifi,D6E420274F79
2020-08-02 13:58.11,wifi,EC5C68E57E68
2020-08-02 13:58.13,wifi,7CA1AE879975
2020-08-02 13:58.16,wifi,1AD02EE9109D
2020-08-02 13:58.58,wifi,F0989DEBC6B6
2020-08-02 13:59.16,wifi,AAED90354A3E
2020-08-02 13:59.19,wifi,D640D041ABBA
2020-08-02 13:59.33,wifi,18B4305CED53
2020-08-02 13:59.37,wifi,90A7C130A428
2020-08-02 13:59.50,bt,52:29:be:7e:33:ac
2020-08-02 13:59.54,wifi,18B4305C7B5B
2020-08-02 13:59.57,wifi,D240D041ABE7
2020-08-02 14:00.36,wifi,AAED90354A3E
2020-08-02 14:00.52,wifi,FA8FCA5E99C4
2020-08-02 14:01.16,wifi,1216E59DC9AF
2020-08-02 14:01.34,wifi,56D4F7D5BE8A
2020-08-02 14:01.34,wifi,50D4F7D5BE8A
2020-08-02 14:01.40,wifi,F0989DEBC6B6
2020-08-02 14:01.42,wifi,A06391EFB628
2020-08-02 14:02.21,wifi,D240D041ABE7
2020-08-02 14:02.30,bt,75:29:f4:95:15:74
2020-08-02 14:02.33,wifi,F0EF867E3B29
2020-08-02 14:02.53,wifi,423349749C8A
2020-08-02 14:02.57,wifi,FA8FCA3BE96B
2020-08-02 14:02.58,wifi,E0338EEEB864
2020-08-02 14:03.54,wifi,90A7C130A428
2020-08-02 14:03.55,wifi,FA8FCA5E99C4
2020-08-02 14:03.58,wifi,56D4F7D5BE8A
2020-08-02 14:04.00,wifi,50D4F7D5BE8A
2020-08-02 14:04.04,wifi,18B4305C7B5B
2020-08-02 14:04.13,wifi,F838805AC743
2020-08-02 14:06.02,wifi,D240D041ABBA
2020-08-02 14:06.05,wifi,B87BC52B2035
2020-08-02 14:06.10,bt,75:29:f4:95:15:74
2020-08-02 14:06.12,wifi,18B4305C7B5B
2020-08-02 14:06.34,wifi,F0989DEBC6B6
2020-08-02 14:06.37,wifi,FA8FCA3BE96B
2020-08-02 14:06.41,wifi,EC5C68E57E68
2020-08-02 14:07.16,wifi,D62257D89EB4
2020-08-02 14:07.35,wifi,189C27EDB124
2020-08-02 14:07.55,wifi,F0EF867E3B29
2020-08-02 14:08.30,bt,59:20:ec:9c:a2:83
2020-08-02 14:08.31,wifi,D240D041ABBA
2020-08-02 14:08.41,wifi,F0989DEBC6B6
2020-08-02 14:08.43,wifi,FA8FCA5E99C4
2020-08-02 14:08.53,wifi,56D4F7D5AE8A
2020-08-02 14:08.55,wifi,56D4F7D5BE8A
2020-08-02 14:09.39,wifi,A06391EFB628
2020-08-02 14:09.41,wifi,D240D041ABBA
2020-08-02 14:09.41,wifi,D640D041ABBA
2020-08-02 14:10.36,wifi,B07FB981BEE4
2020-08-02 14:10.39,wifi,161B17711AF1
2020-08-02 14:10.41,wifi,50D4F7D5BE8A
2020-08-02 14:10.41,wifi,56D4F7D5BE8A
2020-08-02 14:10.50,bt,59:20:ec:9c:a2:83
2020-08-02 14:10.54,wifi,FE2ED8547727
2020-08-02 14:10.57,wifi,F0EF867E3B29
2020-08-02 14:11.05,wifi,18B4305CED53
2020-08-02 14:11.13,wifi,AAED90354A3E
2020-08-02 14:11.30,bt,50:e7:d2:9a:e6:27
2020-08-02 14:11.33,wifi,F0989DEBC6B6
2020-08-02 14:12.04,wifi,FA8FCA3BE96B
2020-08-02 14:12.45,wifi,D240D041ABBA
2020-08-02 14:12.54,wifi,B87BC52B2035
2020-08-02 14:13.19,wifi,80E650104F4E
2020-08-02 14:13.30,bt,75:29:f4:95:15:74
2020-08-02 14:13.39,wifi,B07FB981BEE4
2020-08-02 14:13.39,wifi,AAED90354A3E
2020-08-02 14:14.00,wifi,703ACB1D37AF
2020-08-02 14:15.15,wifi,DE40D041ABBA
2020-08-02 14:15.15,wifi,D240D041ABBA
2020-08-02 14:15.35,wifi,56D4F7D5BE8A
2020-08-02 14:15.36,wifi,18B4305C7B5B
2020-08-02 14:15.52,wifi,703ACB1D37AF
2020-08-02 14:16.24,wifi,18B4305CED53
2020-08-02 14:16.27,wifi,F0EF867E3B29
2020-08-02 14:17.11,wifi,EC5C68E57E68
2020-08-02 14:17.18,wifi,FA8FCA5E99C4
2020-08-02 14:17.21,wifi,2EBC45DF2418
2020-08-02 14:17.36,wifi,A06391EFB628
2020-08-02 14:17.38,wifi,F0EF867E3B29
2020-08-02 14:18.10,bt,59:20:ec:9c:a2:83
2020-08-02 14:18.13,wifi,F0989DEBC6B6
2020-08-02 14:18.17,wifi,D240D041ABBA
2020-08-02 14:18.34,wifi,90A7C130A428
2020-08-02 14:18.51,wifi,2EBC45DF2418
2020-08-02 14:18.51,wifi,FA8FCA3BE96B
2020-08-02 14:18.53,wifi,703ACB1D37AF
2020-08-02 14:19.11,wifi,723031B35B9C
2020-08-02 14:19.32,wifi,D640D041ABBA
2020-08-02 14:19.37,wifi,F0989DEBC6B6
2020-08-02 14:19.50,bt,63:d3:9a:30:fa:87
2020-08-02 14:19.54,wifi,18B4305C7B5B
2020-08-02 14:20.00,wifi,2E63CD72CA97
2020-08-02 14:20.41,wifi,D240D041ABBA
2020-08-02 14:20.43,wifi,703ACB1D37AF
2020-08-02 14:21.52,wifi,3A1F1937FEFF
2020-08-02 14:21.54,wifi,FA8FCA3BE96B
2020-08-02 14:21.56,wifi,F0EF867E3B29
2020-08-02 14:22.00,wifi,18B4305C7B5B
2020-08-02 14:22.14,wifi,4EC67B5E3CF3
2020-08-02 14:22.30,bt,59:20:ec:9c:a2:83
2020-08-02 14:22.34,wifi,D240D041ABE7
2020-08-02 14:22.35,wifi,D240D041ABBA
2020-08-02 14:22.42,wifi,12FF6E25F9C6
2020-08-02 14:22.44,wifi,DECD23178F42
2020-08-02 14:22.51,wifi,FA8FCA5E99C4
2020-08-02 14:23.12,wifi,DE40D041ABBA
2020-08-02 14:23.30,bt,5b:3e:04:cd:24:a2
2020-08-02 14:23.35,wifi,50D4F7D5AE8A
2020-08-02 14:23.35,wifi,2A53FAB6F3E0
2020-08-02 14:23.43,wifi,18B4305CED53
2020-08-02 14:24.38,wifi,B07FB981BEE4
2020-08-02 14:24.53,wifi,A8346A74AEDE
2020-08-02 14:25.10,bt,5b:3e:04:cd:24:a2
2020-08-02 14:25.36,wifi,703ACB1D37AF
2020-08-02 14:25.41,wifi,EC5C68E57E68
2020-08-02 14:26.10,bt,52:29:be:7e:33:ac
2020-08-02 14:26.16,wifi,F0EF867E3B29
2020-08-02 14:26.24,wifi,7EBD2B95A286
2020-08-02 14:26.44,wifi,12FF6E25F9C6
2020-08-02 14:27.04,wifi,FA8FCA5E99C4
2020-08-02 14:27.24,wifi,D640D041ABBA
2020-08-02 14:27.41,wifi,7CDB98E2F1BD
2020-08-02 14:27.52,wifi,F0989DEBC6B6
2020-08-02 14:29.36,wifi,18B4305C7B5B
2020-08-02 14:29.50,bt,52:08:73:78:be:92
2020-08-02 14:29.54,wifi,D240D041ABBA
2020-08-02 14:30.03,wifi,B87BC52B2035
2020-08-02 14:30.10,bt,5b:3e:04:cd:24:a2
2020-08-02 14:30.31,wifi,F0EF867E3B29
2020-08-02 14:31.15,wifi,BE6F3945A0CC
2020-08-02 14:31.40,wifi,F0EF867E3B29
2020-08-02 14:32.13,wifi,18B4305C7B5B
2020-08-02 14:32.30,bt,63:d3:9a:30:fa:87
2020-08-02 14:32.50,bt,5b:3e:04:cd:24:a2
2020-08-02 14:33.33,wifi,703ACB1D37AF
2020-08-02 14:33.41,wifi,22E3383F9659
2020-08-02 14:33.43,wifi,F0989DEBC6B6
2020-08-02 14:34.16,wifi,A8346A74AEDE
2020-08-02 14:34.24,wifi,FA8FCA5E99C4
2020-08-02 14:34.59,wifi,B8F12A88D0FB
2020-08-02 14:36.00,wifi,703ACB1D37AF
2020-08-02 14:36.14,wifi,AAED90354A3E
2020-08-02 14:36.23,wifi,18B4305C7B5B
2020-08-02 14:36.53,wifi,FA8FCA5E99C4
2020-08-02 14:36.54,wifi,323B9F6D29D9
2020-08-02 14:37.43,wifi,FA8FCA3BE96B
2020-08-02 14:37.51,wifi,703ACB1D37AF
2020-08-02 14:38.10,bt,48:53:df:0e:45:b8
2020-08-02 14:38.20,wifi,26B546E27E3A
2020-08-02 14:38.24,wifi,4E3021D03833
2020-08-02 14:38.32,wifi,18B4305CED53
2020-08-02 14:38.37,wifi,AAED90354A3E
2020-08-02 14:39.03,wifi,9E8F899DED7E
2020-08-02 14:39.05,wifi,2A755AD4A84D
2020-08-02 14:39.14,wifi,A8346A74AEDE
2020-08-02 14:39.33,wifi,18B4305C7B5B
2020-08-02 14:40.01,wifi,50D4F7D5AE8A
2020-08-02 14:40.17,wifi,D640D041ABE7
2020-08-02 14:40.50,bt,75:cb:f4:6f:6b:76
2020-08-02 14:41.31,wifi,D240D041ABE7
2020-08-02 14:41.31,wifi,703ACB1D37AF
2020-08-02 14:42.20,wifi,F0EF867E3B29
2020-08-02 14:42.20,wifi,F0989DEBC6B6
2020-08-02 14:42.40,wifi,A06391EFB628
2020-08-02 14:43.10,bt,48:53:df:0e:45:b8
2020-08-02 14:43.17,wifi,2A755AD4A84D
2020-08-02 14:43.18,wifi,FA8FCA3BE96B
2020-08-02 14:43.42,wifi,18B4305C7B5B
2020-08-02 14:43.58,wifi,D240D041ABBA
2020-08-02 14:44.51,wifi,98B8E3C9BFE1
2020-08-02 14:45.30,bt,57:bd:18:30:ce:4a
2020-08-02 14:45.41,wifi,A06391EFB628
2020-08-02 14:45.44,wifi,D240D041ABBA
2020-08-02 14:46.01,wifi,8E4962532D41
2020-08-02 14:46.59,wifi,18B4305CED53
2020-08-02 14:47.33,wifi,FA8FCA3BE96B
2020-08-02 14:47.37,wifi,D640D041ABBA
2020-08-02 14:47.37,wifi,D240D041ABBA
2020-08-02 14:47.51,wifi,18B4305C7B5B
2020-08-02 14:48.36,wifi,50D4F7D5AE8A
2020-08-02 14:48.50,wifi,F0EF867E3B29
2020-08-02 14:48.51,wifi,703ACB1D37AF
2020-08-02 14:48.51,wifi,D240D041ABE7
2020-08-02 14:49.24,wifi,D640D041ABE7
2020-08-02 14:49.51,wifi,56D4F7D5BE8A
2020-08-02 14:49.56,wifi,18B4305C7B5B
2020-08-02 14:50.03,wifi,1EC0B21E91FC
2020-08-02 14:50.11,wifi,E26E98877913
2020-08-02 14:50.23,wifi,50D4F7D5BE8A
2020-08-02 14:50.38,wifi,34DB9C7B16AE
2020-08-02 14:50.38,wifi,D240D041ABBA
2020-08-02 14:50.41,wifi,3E3190B68977
2020-08-02 14:51.15,wifi,FA8FCA3BE96B
2020-08-02 14:51.33,wifi,8E4962532D41
2020-08-02 14:51.38,wifi,50D4F7D5AE8A
2020-08-02 14:51.38,wifi,56D4F7D5AE8A
2020-08-02 14:51.38,wifi,50D4F7D5BE8A
2020-08-02 14:51.38,wifi,56D4F7D5BE8A
2020-08-02 14:51.53,wifi,703ACB1D37AF
2020-08-02 14:52.03,wifi,923BAD1AE2AC
2020-08-02 14:52.04,wifi,9A3BAD1AE2AC
2020-08-02 14:52.11,wifi,18B4305CED53
2020-08-02 14:52.13,wifi,18B4305C7B5B
2020-08-02 14:53.07,wifi,DE9246E81650
2020-08-02 14:54.16,wifi,FA8FCA3BE96B
2020-08-02 14:54.42,wifi,50D4F7D5CE3E
2020-08-02 14:54.43,wifi,F0989DEBC6B6
2020-08-02 14:56.03,wifi,A06391EFB628
2020-08-02 14:56.10,bt,77:06:a8:e9:57:a4
2020-08-02 14:56.25,wifi,18B4305CED53
2020-08-02 14:56.35,wifi,18B4305C7B5B
2020-08-02 14:57.37,wifi,18B4305C7B5B
2020-08-02 14:58.22,wifi,50D4F7D5CE3E
2020-08-02 14:58.22,wifi,56D4F7D5CE3E
