Datetime, Bluetooth Count, WiFi Count
2020-08-02 13:02.33,1,24
2020-08-02 13:12.34,3,17
2020-08-02 13:16.28,0,0
2020-08-02 13:21.30,1,25
2020-08-02 13:26.31,2,13
2020-08-02 13:31.31,2,11
2020-08-02 13:36.31,2,12
2020-08-02 13:41.32,3,14
2020-08-02 13:46.32,0,30
2020-08-02 13:51.32,5,18
2020-08-02 13:56.33,2,19
2020-08-02 14:01.33,1,22
2020-08-02 14:06.33,2,18
2020-08-02 14:11.34,3,23
2020-08-02 14:16.34,1,14
2020-08-02 14:21.34,2,18
2020-08-02 14:26.35,4,20
2020-08-02 14:31.35,2,10
2020-08-02 14:36.36,2,11
2020-08-02 14:41.36,2,16
2020-08-02 14:46.36,2,11
2020-08-02 14:51.37,0,20
2020-08-02 14:56.37,1,16
